Lugar de estreno,lat,lon
La Granja de Santa Cruz de Tenerife,28.3841497,-16.4578617
Teatro Municipal de San Pedro de Pinatar (Murcia),37.8371549,-0.7853051
Teatro Galileo (Santiago de Compostela),40.4338993,-3.7105739
"Hospital de Antezana, Alcalá de Henares (Madrid)",40.4822815,-3.3669328
Teatro Apolo de Almería,36.8406025,-2.4618673
Pabellón Calle Numancia de Toledo,39.9778688,-3.956167
Auditorio Torres López de Tomelloso (Ciudad Real),39.1566918,-3.0208853
Teatro Marín de Teruel ,40.3410295,-1.1064898
Teatro Alhambra de Granada,37.1714804,-3.5913397
"Hospital de Antezana, Alcalá de Henares (Madrid)",40.4822815,-3.3669328
Corral de Carbón de Granada,37.1735728,-3.5992742
Sala Sanpol de Madrid,40.4239339,-3.7270082
,,
Teatro La Galera de Alcalá de Henares (Madrid),40.4801682,-3.3615234
,,
,,
,,
,,
"Teatro Gutierre de Alba, Alcalá de Guadaira (Sevilla)",37.335144,-5.8476081
,,
,,
Teatro La Galera de Alcalá de Henares (Madrid),40.4801682,-3.3615234
Teatro de Cámara Chéjov (Madrid),40.4251657,-3.6920414
Mostra Rialles de Cerdanyola del Vallès,41.5688572,2.0843829
,,
,,
Teatro La Galera de Alcalá de Henares (Madrid),40.4801682,-3.3615234
Teatro Lope de Vega de Alcalá de Henares (Madrid),40.3157075,-3.5328628
,,
,,
Corral de Comedias de Almagro,38.8884394,-3.7119119
,,
,,
Centro Cultural Cjastur de la Colegiata del San Juan Bautista de Gijón (Asturias),43.545571,-5.6638903
Círculo de Bellas Artes,40.4183042,-3.6965333
"Teatro Bergidu, de Ponferrada (León)",42.5465503,-6.5891852
,,
Corral de Zapateros de Alcalá de Henares (Madrid),40.4822922,-3.3645504
Teatro de La Abadía,40.4353022,-3.7094283
,,
Teatro Principal de Zaragoza,41.6518556,-0.8793213
En Stratfor-upon-Avon (Inglaterra). Teatro Español de Madrid (España),46.2651809,-2.7532047
Teatro Lope de Vega (Sevilla),37.3784059,-5.990964
,,
Teatro Salón Cervantes de Alcalá de Henares (Madrid),40.4834571,-3.3661106
Teatro Salón Cervantes de Alcalá de Henares (Madrid),40.4834571,-3.3661106
,,
,,
Corral de Zapateros de Alcalá de Henares (Madrid),40.4822922,-3.3645504
Teatro Juan Bravo (Segovia),40.9504826,-4.1235423
,,
,,
,,
,,
,,
Corral de Comedias de Almagro (Ciudad Real),38.8884394,-3.7119119
,,
,,
,,
,,
Corral del Carbón (Granada),37.1750505,-3.5981838
Teatro Centro Virgen de los Reyes (Sevilla),37.40453,-5.9851479
Casa de las Campanas (Córdoba),37.8823697,-4.7696905
,,
,,
Teatro Palacio Valdés de Avilés (Asturias),43.555218,-5.920094
,,
,,
Teatro Pavón (Madrid),40.410031,-3.7061552
Murcia,37.9917074,-1.1394671
,,
,,
,,
,,
,,
,,
,,
,,
"Teatro López de Ayala, Badajoz (Extremadura) ",38.8762766,-6.9723722
,,
,,
Teatro Nuevo Apolo (Madrid),40.412189,-3.7033341
,,
,,
,,
,,
,,
Teatro Madrid,40.4258763,-3.6924628
,,
,,
,,
Centro Cívico Teodoro Sánchez Punter (Zaragoza),41.6378108,-0.8728851
,,
,,
,,
Teatro Bellas Artes (Madrid),40.4183333,-3.6963889
"Corral de Comedias, Alcalá de Henares (Madrid)",40.4822922,-3.3645504
Sociedad Cervantina (Madrid),40.411408,-3.6970031
,,
,,
Teatro Principal de Burgos (Burgos),42.3406276,-3.6998874
,,
Teatro de la Casa de la Juventud de Parla (Madrid),40.23242,-3.7614235
,,
Sala Gonzalo de Berceo de Logroño (La Rioja),42.464221,-2.4425784
,,
,,
Gran Teatro de Cáceres (Extremadura),39.4731946,-6.3754623
,,
Antigua Universidad Renacentista de Almagro (Ciudad Real),38.8915937,-3.7148261
Teatro Pavón de Madrid,40.410031,-3.7061552
,,
Teatro Pavón de Madrid,40.410031,-3.7061552
Teatro Municipal de Almagro (Ciudad Real),38.89053,-3.7119068
,,
Centro Cultural La Vaguada de Madrid,40.4794927,-3.709135
Teatro Romano de Mérida (Badajoz),38.915402,-6.3389273
Teatro Villamarta de Jerez de la Frontera (Cádiz),36.6828855,-6.1352393
,,
,,
"Zornotza Aretoa de Amorebieta-Etxano, Vizcaya (País Vasco)",43.2198301,-2.7319023
"Auditorio Capitol de Tacoronte, Sanra Cruz de Tenerife (Islas Canarias)",28.4776101,-16.4147621
Teatro La Veleta de Almagro (Ciudad Real),38.8994072,-3.7079747
Teatro Principal de Burgos (Castilla y León),42.3406276,-3.6998874
,,
,,
Elche (Alicante),38.2665289,-0.6896821
Teatro Español (Madrid),40.4149459,-3.7001863
Corral de Comedias de Almagro (Ciudad Real),38.8884394,-3.7119119
Centro Cultural Conde Duque (mADRID),40.4274072,-3.7107195
,,
"Sala Juan de la Cruz, Teatro de La Abadía (Madrid)",40.4353022,-3.7094283
Auditorio Municipal Maestro Padilla (Almería),36.8236768,-2.4440319
"Palacio de Congresos de Jaca, Huesca (Aragón)",42.5749251,-0.5466213
,,
La Nave del Deunde de Casar de Cáceres (Extremadura),39.5525213,-6.4194535
,,
,,
,,
Sala La Cochera Cabaret (Málaga),36.6922645,-4.4509556
Corral de Comedias de Alcalá de Henares (Madrid),40.4822922,-3.3645504
Teatro Juan Bravo de Segovia (Castilla y León),40.9504826,-4.1235423
Corral de Cervantes (Plaza de toros) de Aranjuez (Madrid),40.0278334,-3.6035532
,,
,,
,,
Corral de Comedias de Alcalá de Henares (Madrid) ,40.4822922,-3.3645504
"Teatro Municipal de Almagro, Ciudad Real (Castilla La Mancha)",38.8903455,-3.7117528
"Claustro Mudéjar de Chinchilla, Albacete (Castilla La Mancha)",38.9203448,-1.7256087
"Corrala Palacio del Caballero de Olmedo, Valladolid (Castilla y León)",41.2863196,-4.6859718
,,
"Corral de Comedias de Almagro, Ciudad Real (Castilla La Mancha)",38.8884394,-3.7119119
"Auditorio de Torrent, Valencia (Comunidad Valenciana)",39.4236513,-0.4801567
,,
"Centro Cultural Gilitos de Alcalá, Madrid (Comunidad de Madrid)",40.4921751,-3.3666232
"Teatro Círculo de Valencia, Valencia (Comunidad Valenciana)",39.4852114,-0.3553528
,,
,,
"Calle Mayor de Alcalá de Henares, Madrid (Comunidad de Madrid)",40.4820847,-3.3669853
Teatro Principal de Zaragoza,41.6518556,-0.8793213
,,
,,
,,
"Teatro Villa del Conocimiento y las Artes de Mairena del Alcor, Sevilla (Andalucía)",37.3752136,-5.748197
,,
"Teatros del Canal, Madrid (Comunidad de Madrid)",40.438279,-3.7051836
,,
,,
,,
,,
,,
,,
,,
